Study,worm_ID,trt,J4,J4+1,J4+2,J4+3,J4+4,J4+5,J4+6,J4+7
2,c2.01,control,0,0,40,29,54,10,0,0
2,c2.02,control,0,0,46,42,36,4,0,0
2,c2.03,control,0,0,36,21,12,3,0,0
2,c2.04,control,0,0,35,37,44,1,0,0
2,c2.05,control,0,0,45,38,50,10,0,0
2,h2.01,hippuric acid,0,0,63,71,24,0,0,0
2,h2.02,hippuric acid,0,0,74,73,12,1,0,0
2,h2.03,hippuric acid,0,0,62,54,50,2,0,0
2,h2.04,hippuric acid,0,0,71,69,18,0,0,0
2,h2.05,hippuric acid,0,0,61,67,32,0,0,0
2,c2.06,control,0,0,58,57,63,5,0,0
2,c2.07,control,0,0,37,46,49,0,0,0
2,c2.08,control,0,0,41,41,38,0,0,0
2,c2.09,control,0,0,49,53,46,3,0,0
2,c2.10,control,0,0,42,57,40,0,0,0
2,h2.06,hippuric acid,0,0,77,76,11,0,0,0
2,h2.07,hippuric acid,0,0,69,57,24,0,0,0
2,h2.08,hippuric acid,0,0,51,62,45,3,0,0
2,h2.09,hippuric acid,0,0,78,82,16,0,0,0
2,h2.10,hippuric acid,0,0,67,74,49,,,
3,c3.01,control,0,0,43,69,52,0,0,0
3,c3.02,control,0,0,47,73,23,0,0,0
3,c3.03,control,0,0,14,2,0,0,0,0
3,c3.04,control,0,0,39,73,36,0,0,0
3,c3.05,control,0,0,27,60,61,4,0,0
3,c3.06,control,0,0,44,65,43,0,0,0
3,c3.07,control,0,0,44,65,43,0,0,0
3,c3.08,control,0,0,21,57,77,9,0,0
3,c3.09,control,0,0,22,62,57,0,0,0
3,c3.10,control,0,0,39,54,39,0,0,0
3,h3.01,hippuric acid,0,0,43,62,47,8,1,0
3,h3.02,hippuric acid,0,0,43,1,,,,
3,h3.03,hippuric acid,0,0,27,46,37,0,0,0
3,h3.04,hippuric acid,0,0,42,64,29,0,0,0
3,h3.05,hippuric acid,0,0,49,66,74,1,0,0
3,h3.06,hippuric acid,0,0,44,65,43,0,0,0
3,h3.07,hippuric acid,0,0,31,59,40,0,0,0
3,h3.08,hippuric acid,0,0,21,57,77,9,0,0
3,h3.09,hippuric acid,0,0,22,62,57,0,0,0
3,h3.10,hippuric acid,0,0,39,54,39,0,0,0
4,c4.01,control,0,0,74,50,38,0,,
4,c4.02,control,0,0,69,44,38,0,,
4,c4.03,control,0,0,76,56,68,3,,
4,c4.04,control,0,0,84,53,42,1,,
4,c4.05,control,0,0,71,53,57,0,,
4,c4.06,control,0,0,92,54,19,0,,
4,c4.07,control,0,0,81,55,56,0,,
4,c4.08,control,0,0,91,42,25,0,,
4,c4.09,control,0,0,102,60,28,0,,
4,c4.10,control,0,0,65,32,54,1,,
4,h4.01,hippuric acid,0,0,101,55,24,0,,
4,h4.02,hippuric acid,0,0,100,56,42,0,,
4,h4.03,hippuric acid,0,0,114,60,3,0,,
4,h4.04,hippuric acid,0,0,92,62,30,0,,
4,h4.05,hippuric acid,0,0,93,53,15,0,,
4,h4.06,hippuric acid,0,0,92,69,59,2,,
4,h4.07,hippuric acid,0,0,132,59,89,6,,
4,h4.08,hippuric acid,0,0,78,52,75,1,,
4,h4.09,hippuric acid,0,0,61,60,93,7,,
4,h4.10,hippuric acid,0,0,87,62,83,8,,
